processed,original
"دیانتالله","ديانت الله"
"فرحه","فرحه"
"حراست","حراست"
"كمال","كمال"
"گلیاس","گلياس"
"والیه","واليه"
"زهراخانم","زهراخانم"
"برزان","برزان"
"پریخانم","پري خانم"
"سپیدهالسادات","سپيده السادات"
"هارون","هارون"
"نگاه","نگاه"
"سهامه","سهامه"
"یونا","يونا"
"كامل","كامل"
"منیبا","منيبا"
"پوراندخت","پوران دخت"
"حدسیه","حدسيه"
"ریاض","رياض"
"مانیدا","مانيدا"
"لیلی","ليلي"
"بیوکاقا","بيوک اقا"
"سوادی","سوادي"
"شهرت","شهرت"
"نوراحمد","نوراحمد"
"سیدهاشرف","سيده اشرف"
"اصیله","اصيله"
"شیرینالسادات","شيرين السادات"
"مهرالله","مهرالله"
"صایب","صايب"
"ببراز","ببراز"
"سیدهپروشات","سيده پروشات"
"فضلالله","فضل الله"
"عوضمحمد","عوض محمد"
"سیدهسادات","سيده سادات"
"نارگل","نارگل"
"میرمحمد","ميرمحمد"
"میاده","مياده"
"نسیمه","نسيمه"
"سیداعلاء","سيداعلاء"
"آفتاب","آفتاب"
"سیدهدلیار","سيده دل يار"
"شادمان","شادمان"
"ساراسادات","ساراسادات"
"مهان","مهان"
"سیدهگلشن","سيده گلشن"
"نوشافرین","نوش افرين"
"قربانعلی","قربانعلي"
"پارسیا","پارسيا"
"توحیدرضا","توحيدرضا"
"حلیمهالسادات","حليمه السادات"
"مهنور","مهنور"
"عفتخانم","عفت خانم"
"سیدقربانعلی","سيدقربانعلي"
"کمالالدین","کمال الدين"
"سیدرمضان","سيدرمضان"
"شفق","شفق"
"مسرور","مسرور"
"اباالحسن","اباالحسن"
"میرکریم","ميرکريم"
"كامبیز","كامبيز"
"آنتونلا","آنتونلا"
"سورنا","سورنا"
"مهکامه","مه کامه"
"نصیر","نصير"
"تبسمسادات","تبسم سادات"
"بیبیمعصومه","بي بي معصومه"
"شاکر","شاکر"
"سیدعمادالدین","سيد عماد الدين"
"پریزاد","پريزاد"
"صهبا","صهبا"
"معصومهلیدا","معصومه ليدا"
"پریزاد","پري زاد"
"نرگسخاتون","نرگس خاتون"
"طیبهالسادات","طيبه السادات"
"سكینهسلطان","سكينه سلطان"
"اورنگ","اورنگ"
"گوهر","گوهر"
"اللهبخش","الله بخش"
"فرهادعلی","فرهاد علي"
"رساله","رساله"
"خانمبیبی","خانم بي بي"
"نگین","نگين"
"پروا","پروا"
"سماالسادات","سما السادات"
"مهروش","مهروش"
"ولگا","ولگا"
"سیدهناظمه","سيده ناظمه"
"ابرهیم","ابرهيم"
"هلیاسادات","هليا سادات"
"سحرالسادات","سحرالسادات"
"امیرسیاوش","امير سياوش"
"علییار","علي يار"
"حمدیه","حمديه"
"سوریه","سوريه"
"رومیناسادات","روميناسادات"
"سیدتقی","سيدتقي"
"ایسودا","ايسودا"
"محمدفرهاد","محمدفرهاد"
"هیربد","هيربد"
"ممدوآوا","ممدو آوا"
"فوادحسین","فوادحسين"
"محمدجهان","محمدجهان"
"آمنه","آمنه"
"حجیهربابه","حجيه ربابه"
"کرمبخش","کرمبخش"
"قهار","قهار"
"امیرارشیا","اميرارشيا"
"کامران","کامران"
"گلناز","گل ناز"
"كهزاد","كهزاد"
"سرپرستآموزشی","سرپرست آموزشي"
"امیرارمان","اميرارمان"
"عزیزمراد","عزيزمراد"
"عاصم","عاصم"
"سیمینعذار","سيمين عذار"
"مهجبین","مه جبين"
"سیدعلیاصغر","سيدعلي اصغر"
"اندیا","انديا"
"تسنیم","تسنيم"
"لاله","لاله"
"سیدهتهمینه","سيده تهمينه"
"فیاض","فياض"
"فروه","فروه"
"صبورا","صبورا"
"رنا","رنا"
"شهبا","شهبا"
"محمدشفیع","محمد شفيع"
"اردكخانم","اردك خانم"
"ملیحهالزمان","مليحه الزمان"
"سیدذبیحالله","سيدذبيح الله"
"محمدسینا","محمدسينا"
"قدمخیر","قدمخير"
"امیرمجتبی","اميرمجتبي"
"انس","انس"
"ارسطو","ارسطو"
"امیرمحمود","اميرمحمود"
"سیدوفا","سيدوفا"
"فاطمهصغری","فاطمه صغري"
"اسیه","اسيه"
"پرشین","پرشين"
"اقدسالسادات","اقدس السادات"
"امیرفرهاد","اميرفرهاد"
"فرحروز","فرح روز"
"سیدمقداد","سيد مقداد"
"فریدالدین","فريد الدين"
"امیرسامان","اميرسامان"
"معاونتدانشکده","معاونت دانشکده"
"سیدهاتف","سيدهاتف"
"معرفت","معرفت"
"سیدهشهلا","سيده شهلا"
"ملكسیما","ملك سيما"
"انگینه","انگينه"
"منصورهالسادات","منصوره السادات"
"سیدزهیر","سيدزهير"
"امیرابراهیم","اميرابراهيم"
"امیرداود","اميرداود"
"سینای","سيناي"
"دلبند","دلبند"
"عباد","عباد"
"مهتاب","مه تاب"
"ارین","ارين"
"بهار","بهار"
"سیدایوب","سيدايوب"
"سیدهمنصوره","سيده منصوره"
"عادله","عادله"
"عبدالساده","عبدالساده"
"اوبالیت","اوباليت"
"حبیب","حبيب"
"سلمی","سلمي"
"حاکم","حاکم"
"حجیمحمد","حجي محمد"
"سیدهگلعنبر","سيده گل عنبر"
"محمدکورش","محمد کورش"
"امیرفرهنگ","اميرفرهنگ"
"شامبر","شامبر"
"ماهرخسار","ماهرخ سار"
"قادر","قادر"
"سیدهسهیلا","سيده سهيلا"
"سیدهسمیرا","سيده سميرا"
"سیدعبدالله","سيدعبدالله"
"سیدفرشید","سيد فرشيد"
"بدریسادات","بدري سادات"
"جابر","جابر"
"مهبد","مهبد"
"بدرالسادات","بدرالسادات"
"عسلالسادات","عسل السادات"
"پوریا","پوريا"
"سیدمهیاد","سيدمهياد"
"قزلارآغاسی","قزلارآغاسي"
"سایهسادات","سايه سادات"
"امیرمعین","اميرمعين"
"آنیتا","آنيتا"
"محمد","محمد "
"فرامرز","فرامرز"
"خانمكوچك","خانم كوچك"
"رام","رام"
"ارا","ارا"
"زیبر","زيبر"
"ماتیاس","ماتياس"
"نجاته","نجاته"
"فرهید","فرهيد"
"روزا","روزا"
"فیحا","فيحا"
"ساغر","ساغر"
"سیدسعید","سيد  سعيد"
"شاهپری","شاه پري"
"سیدهشهزاد","سيده شهزاد"
"نظمیه","نظميه"
"سیدعباد","سيدعباد"
"المیرا","الميرا"
"فرجاله","فرج اله"
"رمضانعلی","رمضانعلي"
"نهله","نهله"
"حمد","حمد"
"فروغالسادات","فروغ السادات"
"یمناء","يمناء"
"محبوبهسادات","محبوبه سادات"
"یاسمین","ياسمين"
"نشاط","نشاط"
"سیدهسودابه","سيده سودابه"
"جوانشیر","جوانشير"
"شاملك","شاملك"
"امیرزاده","اميرزاده"
"سیدامید","سيداميد"
"دیون","ديون"
"آروین","آروين"
"لوکا","لوکا"
"غلامحیدر","غلام حيدر"
"سیدحبیباله","سيدحبيب اله"
"بتسابه","بتسابه"
"حفیظه","حفيظه"
"سیدفریدون","سيدفريدون"
"عدنانناجیشکیر","عدنان ناجي شکير"
"کبری","کبري"
"محمدعرفان","محمد عرفان"
"مشكات","مشكات"
"نبیلایادعبدالحسین","نبيل اياد عبدالحسين"
"كیامرث","كيامرث"
"خاتون","خاتون"
"امیرحافظ","اميرحافظ"
"سمیهسادات","سميه سادات"
"فؤاد","فؤاد"
"فنیره","فنيره"
"كفایه","كفايه"
"سیدمعینالدین","سيد معين الدين"
"زینل","زينل"
"اسكندر","اسكندر"
"مهدیصالح","مهدي صالح"
"سیدمحمد","سيدمحمد"
"بیبیمریم","بي بي مريم"
"سیدهنجمه","سيده نجمه"
"صفوان","صفوان"
"خیال","خيال"
"خبات","خبات"
"خنجر","خنجر"
"ابالحسن","ابالحسن"
"سیدشجاعالدین","سيدشجاع الدين"
"کاوس","کاوس"
"نگارسادات","نگار سادات"
"سیدهفاطمهبیبی","سيده فاطمه بي بي"
"کاربر","کاربر"
"عبدالخالد","عبدالخالد"
"حمزهعلی","حمزه علي"
"بهراد","بهراد"
"مانا","مانا"
"سیدهالا","سيده الا"
"سیدامیرپویا","سيد اميرپويا"
"منوئل","منوئل"
"علیحسین","علي حسين"
"دلناز","دلناز"
"سیدهنگار","سيده نگار"
"ازین","ازين"
"شیداسادات","شيداسادات"
"وزیراحمد","وزيراحمد"
"غلاممحمد","غلام محمد"
"نیاکام","نياکام"
"احسن","احسن"
"سمیراء","سميراء"
"سیدسلمان","سيد سلمان"
"نجمهالسادات","نجمه السادات"
"ارشین","ارشين"
"یعثوب","يعثوب"
"صلاحالدین","صلاح الدين"
"نغمهسادات","نغمه سادات"
"شکوفهالسادات","شکوفه السادات"
"مظاهر","مظاهر"
"جنان","جنان"
"ذولیخا","ذوليخا"
"سیدهامان","سيدهامان"
"معظمه","معظمه"
"پرشان","پرشان"
"غزالسادات","غزال سادات"
"محمدسهیل","محمدسهيل"
"نباتجان","نبات جان"
"سیدهزکیه","سيده زکيه"
"محمدکمال","محمد کمال"
"ابوالفضلاحسان","ابوالفضل احسان"
"سیدفرهاد","سيدفرهاد"
"کمند","کمند"
"امیراحتشام","اميراحتشام"
"داریا","داريا"
"ناعمهسادات","ناعمه سادات"
"سیدهنیوشا","سيده نيوشا"
"گرشاسب","گرشاسب"
"اقدس","اقدس"
"پگاه","پگاه"
"امیرحسن","اميرحسن"
"شاكرم","شاكرم"
"سیدهمدینه","سيده مدينه"
"كرمخدا","كرم خدا"
"امیرفرزاد","اميرفرزاد"
"حنین","حنين"
"لیدا","ليدا"
"مهریسادات","مهري سادات"
"زینتبیگم","زينت بيگم"
"بشری","بشري"
"كوكب","كوكب"
"ماهان","ماهان"
"صبحیعبدالاحد","صبحي عبدالاحد"
"ملكحسن","ملك حسن"
"گودرز","گودرز"
"سیدهمدیا","سيده مديا"
"محمدمهراد","محمدمهراد"
"هاجر","هاجر"
"شهلاء","شهلاء"
"اذربرزین","اذربرزين"
"هورزاد","هورزاد"
"محمدصالح","محمدصالح"
"جابرعلی","جابرعلي"
"شهروز","شهروز"
"سیدهمژده","سيده مژده"
"سیدمحمدامین","سيدمحمدامين"
"نارون","نارون"
"هستیالسادات","هستي السادات"
"سیدمحمدجواد","سيد محمدجواد"
"امیراحسان","اميراحسان"
"معاونتحصیلاتتکمیلیو","معاون تحصيلات‌ تکميلي و"
"برات","برات"
"محمدیونس","محمديونس"
"ضیاءالله","ضياءالله"
"سیدزینالعابدین","سيدزين العابدين"
"محیالدینحسن","محي الدين حسن"
"زینالعابدین","زين العابدين"
"خداویردی","خداويردي"
"آناتای","آناتاي"
"حسینمهدی","حسين مهدي"
"افران","افران"
"خیران","خيران"
"نرجسسادات","نرجس سادات"
"غنچه","غنچه"
"امنه","امنه"
"املین","املين"
"میرشهبال","ميرشهبال"
"معتز","معتز"
"ارشك","ارشك"
"اردلان","اردلان"
"فرهنگ","فرهنگ"
"امهلیلی","امه ليلي"
"پروینسادات","‍‍پروين سادات"
"پریماهسادات","پريماه سادات"
"سیدمحمداسماعیل","سيدمحمداسماعيل"
"احیاء","احياء"
"پریرخ","پريرخ"
"اسما","اسما"
"عطیهبیگم","عطيه بيگم"
"مخسن","مخسن"
"گلزار","گلزار"
"علیمراد","عليمراد"
"سیدمحمدعلی","سيد محمد علي"
"سودابه","سودابه"
"جمعه","جمعه"
"سیدهماهدخت","سيده ماهدخت"
"سیدمحمد","سيد محمد"
"امینفرزان","امين فرزان"
"محمدعرشیا","محمدعرشيا"
"كبریالسادات","كبري السادات"
"ملودی","ملودي"
"موسى","موسى"
"شکوفه","شکوفه"
"غریبحسین","غريب حسين"
"فرحانهالسادات","فرحانه السادات"
"گلتاج","گلتاج"
"بنفشهسادات","بنفشه سادات"
"وهرز","وهرز"
"جمیله","جميله"
"سلبی","سلبي"
"سیدپرویز","سيدپرويز"
"نیکزاد","نيکزاد"
"اشر","اشر"
"مصدق","مصدق"
"میرمحسن","ميرمحسن"
"اخسان","اخسان"
"نجیه","نجيه"
"سیدمنصور","سيد منصور"
"بیتاسادات","بيتا سادات"
"سیدیوسفعلی","سيديوسفعلي"
"گلسا","گلسا"
"الشن","الشن"
"حمیدرضا","حميدرضا"
"زهراءرشادنور","زهراء رشاد نور"
"مرضیه","مرضيه"
"سمیراسادات","سميرا سادات"
"سیدنبی","سيدنبي"
"سیدهذکیه","سيده ذکيه"
"قباد","قباد"
"فارهه","فارهه"
"بدیعالله","بديع الله"
"كاظمیه","كاظميه"
"محدثهزهرا","محدثه زهرا"
"لوكی","لوكي"
"سیمین","سيمين"
"بیبیاشرف","بي بي اشرف"
"مروارید","مرواريد"
"سحر","سحر"
"محمدمهرداد","محمدمهرداد"
"مهلاالسادات","مهلاالسادات"
"اقدسالسادت","اقدس السادت"
"بسوه","بسوه"
"فریدون","فريدون"
"سیدفرزاد","سيد فرزاد"
"یبیره","يبيره"
"سیدمحمدصادق","سيد محمد صادق"
"پاکیزه","پاکيزه"
"بیبیسادات","بي بي سادات"
"صحرا","صحرا"
"سیدولیالله","سيدولي الله"
"چاكر","چاكر"
"مادام","مادام"
"تونی","توني"
"نیکولا","نيکولا"
"كریم","كريم"
"نیرومند","نيرومند"
"عباس","عباس"
"قیصر","قيصر"
"احترامسادات","احترام سادات"
"سیدامیررضا","سيداميررضا"
"آمنهخاتون","آمنه خاتون"
"مهرپویا","مهرپويا"
"ولید","وليد"
"امینحسین","امين حسين"
"مشکان","مشکان"
"فهمیه","فهميه"
"باقرمهدیباقر","باقر مهدي باقر"
"آقارحیم","آقارحيم"
"فریان","فريان"
"ددهجان","دده جان"
"نقی","نقي"
"كامیار","كاميار"
"رخشنده","رخشنده"
"ذلیخا","ذليخا"
"سانازسادات","سانازسادات"
"سیدابوالقاسم","سيد ابوالقاسم"
"محمدجعفر","محمد جعفر"
"سیدمحمدداود","سيدمحمدداود"
"سیدشمسالدین","سيدشمس الدين"
"محمدعماد","محمد عماد"
"سیدسهند","سيد سهند"
"اسیلعلیحسین","اسيل علي حسين"
"سمیرابیبی","سميرابي‌بي"
"محمدخسرو","محمدخسرو"
"سیدامیرعمران","سيداميرعمران"
"مطهرةالسادات","مطهرةالسادات"
"امیرصبا","اميرصبا"
"دنیا","دنيا"
"غلامحسن","غلام حسن"
"احیا","احيا"
"لطیفه","لطيفه"
"زیمنگ","زيمنگ"
"هدایتالله","هدايت الله"
"اللهیار","الله يار"
"گلطلا","گل طلا"
"مهشاد","مهشاد"
"بهرام","بهرام"
"شهد","شهد"
"صفوره","صفوره"
"معاونپژوهشیدانشکده","معاون پژوهشي دانشکده"
"اردوان","اردوان"
"هاملت","هاملت"
"مارینا","مارينا"
"اریوبرزن","اريوبرزن"
"هادیشهریار","هادي شهريار"
"سمیرامیس","سميراميس"
"انوش","انوش"
"وسن","وسن"
"معینالرضا","معين الرضا"
"سیدعبدالهادی","سيد عبدالهادي"
"سیدسالار","سيدسالار"
"سیدمحمدحسام","سيدمحمدحسام"
"سیدهآسیه","سيده آسيه"
"محمدماهان","محمدماهان"
"جسومه","جسومه"
"تاجملك","تاج ملك"
"سیدهزرین","سيده زرين"
"سهیل","سهيل"
"رضوانهسادات","رضوانه سادات"
"سلامت","سلامت"
"مارتیا","مارتيا"
"ملوس","ملوس"
"راوش","راوش"
"كوثر","كوثر"
"سیدداوود","سيد داوود"
"سیدمسیحا","سيدمسيحا"
"صدیقهبیگم","صديقه بيگم"
"دیانا","ديانا"
"گلچین","گلچين"
"عزیزمحمد","عزيزمحمد"
"محمدشریف","محمد شريف"
"محمدمصطفی","محمدمصطفي"
"معاوندانشجوییفرهنگی","معاون دانشجويي فرهنگي"
"سیدهنیره","سيده نيره"
"ارمیشا","ارميشا"
"محمدغفران","محمدغفران"
"مولود","مولود"
"سدید","سديد"
"بهجت","بهجت"
"دیباکار","ديباکار"
"امیدرضا","اميدرضا"
"مهدین","مهدين"
"مالك","مالك"
"رزینا","رزينا"
"کژال","کژال"
"میرعلیاكبر","ميرعلي اكبر"
"اسد","اسد"
"ستاره","ستاره"
"سجاد","سجاد"
"ورژ","ورژ"
"علیكرم","عليكرم"
"کاملیا","کامليا"
"ملیکاسادات","مليکاسادات"
"سیدهانیالمهدی","سيدهاني المهدي"
"سیداسماعیل","سيداسماعيل"
"كنیزرضا","كنيزرضا"
"معلا","معلا"
"زانیار","زانيار"
"کیت","کيت"
"سیدههناء","سيده هناء"
"سیدمحمدمهدی","سيد محمدمهدي"
"بدریه","بدريه"
"اماناله","امان اله"
"حمیداله","حميداله"
"مرثا","مرثا"
"لایقه","لايقه"
"تیمور","تيمور"
"سیدهنجیمه","سيده نجيمه"
"اولین","اولين"
"بشیر","بشير"
"سولماز","سولماز"
"براتا...","برات ا..."
"سیدصفدر","سيدصفدر"
"اباصالح","اباصالح"
"طلیعهسادات","طليعه سادات"
"رامبیز","رامبيز"
"چهرزاد","چهرزاد"
"نگارسادات","نگارسادات"
"میرروزبه","ميرروزبه"
"هانیا","هانيا"
"سارو","سارو"
"خدابخش","خدا بخش"
"فضل","فضل"
"خجسته","خجسته"
"امیرسهیل","امير سهيل"
"پورا","پورا"
"شهام","شهام"
"سیدمسرور","سيدمسرور"
"سیدهفاطیما","سيده فاطيما"
"سیدوحیدرضا","سيد وحيد رضا"
"فردوس","فردوس"
"سعادت","سعادت"
"سیدهحكیمه","سيده حكيمه"
"سیدشوان","سيدشوان"
"ایین","ايين"
"سیدهانسیه","سيده انسيه"
"ملكحسین","ملك حسين"
"فاطمهمرضیه","فاطمه مرضيه"
"سرکیس","سرکيس"
"مریمسلطان","مريم سلطان"
"سانیا","سانيا"
"مایدهالسادات","مايده السادات"
"شکوه","شکوه"
"سیدفرزام","سيدفرزام"
"میهن","ميهن"
"اللهرحم","الله رحم"
"بهیان","بهيان"
"سیدکیانوش","سيد کيانوش"
"امیریاور","اميرياور"
"سعیدرضا","سعيد رضا"
"معین","معين"
"سیدصالح","سيد صالح"
"مانی","ماني"
"بهزاد","بهزاد"
"آنتونی","آنتوني"
"سیدغلامحسین","سيدغلامحسين"
"علیشفا","علي شفا"
"شاقیک","شاقيک"
"شهینسادات","شهين سادات"
"ستایشسادات","ستايش سادات"
"عمادالدین","عماد الدين"
"شقایق","شقايق"
"عجبناز","عجب ناز"
"سیدحمیدرضا","سيد حميد رضا"
"مهرنگار","مهرنگار"
"زراره","زراره"
"فربانعلی","فربانعلي"
"سلطانمراد","سلطان مراد"
"سیدمحمدعارف","سيدمحمدعارف"
"سیدمحمدمحسن","سيدمحمدمحسن"
"رضاحسین","رضاحسين"
"مهرنازسادات","مهرناز سادات"
"میرکمالالدین","مير کمال الدين"
"طوران","طوران"
"نیکتاسادات","نيکتاسادات"
"شاهدخت","شاهدخت"
"صغریبیگم","صغري بيگم"
"ملیحهزمان","مليحه زمان"
"عبدالطاهر","عبدالطاهر"
"خورخه","خورخه"
"الاله","الاله"
"سیدصفا","سيدصفا"
"معاونتحصیلاتتکمیلی","معاون تحصيلات تکميلي"
"لوئیزا","لوئيزا"
"محمدهاتف","محمدهاتف"
"امیررضا","امير رضا"
"حبابه","حبابه"
"نویسا","نويسا"
"کریستینه","کريستينه"
"مارکو","مارکو"
"ساداتبیگم","سادات بيگم"
"رامان","رامان"
"سیدهاسما","سيده اسما"
"کیان","کيان"
"شکیلا","شکيلا"
"هانس","هانس"
"سیدمجتبی","سيدمجتبي"
"عبدالجبار","عبدالجبار"
"سیدنیما","سيد نيما"
"سیدهشهرزاد","سيده شهرزاد"
"جبار","جبار"
"میراحمد","ميراحمد"
"سیدارمین","سيدارمين"
"امیناله","امين اله"
"فریما","فريما"
"صلاح","صلاح"
"سیدحسامالدین","سيد حسام الدين"
"رژین","رژين"
"نورعلی","نورعلي"
"شمیمه","شميمه"
"تحسینه","تحسينه"
"سیدسحاب","سيدسحاب"
"سیدمصطفی","سيدمصطفي"
"امیرروزبه","اميرروزبه"
"سیدسبزعلی","سيدسبزعلي"
"سیدقوامالدین","سيدقوام الدين"
"مقتدا","مقتدا"
"هاتف","هاتف"
"گلآفرین","گل آفرين"
"سیدهسوگند","سيده سوگند"
"سیدمیلاد","سيدميلاد"
"سیدمحمدجمالالدین","سيد محمد جمال الدين"
"تاجسر","تاج سر"
"نوریجان","نوريجان"
"نورالدین","نورالدين"
"بستهگل","بسته گل"
"سیدعزتالله","سيدعزت الله"
"سیدمستعان","سيدمستعان"
"رقیه","رقيه"
"شایسته","شايسته"
"علیمحمد","عليمحمد"
"سبحانعلی","سبحان علي"
"نفیسهالسادات","نفيسه السادات"
"امیرمصدق","اميرمصدق"
"ثناء","ثناء"
"ضحیالسادات","ضحي السادات"
"سلوه","سلوه"
"تاکشی","تاکشي"
"سپنتام","سپنتام"
"گلناک","گلناک"
"داودعلی","داودعلي"
"نایب","نايب"
"نوال","نوال"
"سیدهازیتا","سيده ازيتا"
"افشاد","افشاد"
"محمدكسرا","محمدكسرا"
"تاجدولت","تاج دولت"
"عمید","عميد"
"كوشا","كوشا"
"آسناسادات","آسناسادات"
"سیدعبدالحسین","سيد عبدالحسين"
"سیدسعید","سيدسعيد"
"امیرجمشید","اميرجمشيد"
"مهساسادات","مهساسادات"
"هوفر","هوفر"
"شیواسادات","شيواسادات"
"میرموسی","ميرموسي"
"فرنام","فرنام"
"محمدجلال","محمدجلال"
"میرافشین","ميرافشين"
"سیدهنورالزهرا","سيده نورالزهرا"
"بمان","بمان"
"خاوربیگم","خاوربيگم"
"ارشان","ارشان"
"سودا","سودا"
"سیدسعید","سيد سعيد"
"افکنده","افکنده"
"فضائیل","فضائيل"
"امیرهوشنگ","امير هوشنگ"
"میرجعفر","ميرجعفر"
"میرحسینعلی","ميرحسينعلي"
"امیراله","اميراله"
"هیثم","هيثم"
"آدینهعلی","آدينه علي"
"سیدعزیزاله","سيدعزيزاله"
"میرناصر","ميرناصر"
"شازده","شازده"
"محمدشکور","محمدشکور"
"حرمت","حرمت"
"محمدکریم","محمدکريم"
"محمدهادی","محمدهادي "
"عزتالله","عزت الله"
"آرینا","آرينا"
"طلعتبانو","طلعت بانو"
"رفیعاله","رفيع اله"
"آذرالسادات","آذر السادات"
"شهامت","شهامت"
"کیاناز","کياناز"
"محمدنبی","محمدنبي"
"گلپاره","گل پاره"
"احمدآقا","احمدآقا"
"کلارا","کلارا"
"سایرا","سايرا"
"ذبد","ذبد"
"ریچارد","ريچارد"
"پرینا","پرينا"
"عمران","عمران"
"سیدفرشید","سيدفرشيد"
"سیدهصفورا","سيده صفورا"
"جوانه","جوانه"
"جبارعلی","جبارعلي"
"سمیهالسادات","سميه السادات"
"رضوانه","رضوانه"
"شهن","شهن"
"فایزهالسادات","فايزه السادات"
"سلماز","سلماز"
"امیرپژمان","اميرپژمان"
"سیدحامی","سيدحامي"
"امیرعباس","امير عباس"
"امرعلی","امرعلي"
"محمدلطیف","محمدلطيف"
"احمدرضا","احمد رضا"
"سیدمحیط","سيدمحيط"
"ارج","ارج"
"محدثهسادات","محدثه سادات"
"فرنازالسادات","فرنازالسادات"
"هبتالله","هبت الله"
"نجاتاله","نجات اله"
"محمدیزدان","محمديزدان"
"برهان","برهان"
"الاهه","الاهه"
"كیومرث","كيومرث"
"ماریه","ماريه"
"سیدامیرشهاب","سيداميرشهاب"
"سوسنگل","سوسن گل"
"موزان","موزان"
"عبدالحسن","عبدالحسن"
"محمدرووفعبدالحسین","محمد رووف عبدالحسين"
"امیرفرزین","اميرفرزين"
"ارس","ارس"
"حفیظ","حفيظ"
"سیدهعهدیه","سيده عهديه"
"سیدکمال","سيدکمال"
"ازادهسادات","ازاده سادات"
"هاجیهخانم","هاجيه خانم"
"تنی","تني"
"سیدمصباح","سيدمصباح"
"نجمهخاتون","نجمه خاتون"
"عالمه","عالمه"
"مهری","مهري"
"ضیاءالدین","ضياءالدين"
"قزل","قزل"
"نسا","نسا"
"ذوالفقار","ذوالفقار"
"نیکاسادات","نيکا سادات"
"سیدمحمدصوفی","سيدمحمدصوفي"
"امیرستار","اميرستار"
"سمرقند","سمرقند"
"آرشیدا","آرشيدا"
"امیراسماعیل","اميراسماعيل"
"صدیقهسلطان","صديقه سلطان"
